cid,text,time,author,channel,votes,replies,photo,heart,reply,time_parsed
Ugxk-DsKDosOV7RILep4AaABAg.AEylSWcePuQAFBRb6fjH1W,hahahahaha,8 days ago,@isramedeiros,UC9FBeQknjEnyuCSkjXUThAA,0,,https://yt3.ggpht.com/Nt4zJynMqAVEFZ5B1DH0m2wTOsq0rV6AOBf5np8HlzAXCavd3mqa0YnnL0BzGsXohQTfH6r-7Q=s88-c-k-c0x00ffffff-no-rj,False,True,1741029565.536058
Ugxk-DsKDosOV7RILep4AaABAg.AEylSWcePuQAFD96ixBV1o,good one lmao,8 days ago,@erich_l4644,UC_uNyzyHqTEZE371W2N0eKw,0,,https://yt3.ggpht.com/cWBQEPA3Lu8gugOqRu1FR1fFpwfhXfqbLSq4QX44xF_0HnK7LJ8TS16Xyh8RMd2w0XrpxfiRoQ=s88-c-k-c0x00ffffff-no-rj,False,True,1741029565.536655
Ugxk-DsKDosOV7RILep4AaABAg.AEylSWcePuQAFVDljxvMuL, @JohnSmith-bq6nf  comments you can hear,1 day ago,@adamalleman1406,UCwVLqaG8nVsHYDtVZ0zLl6w,0,,https://yt3.ggpht.com/ytc/AIdro_lSx28s6yKEEbq8DPtX6xvI1ejf8btGa52B2UNwuIM=s88-c-k-c0x00ffffff-no-rj,False,True,1741630765.537225
Ugxk-DsKDosOV7RILep4AaABAg.AEylSWcePuQAFWl2o5QMjk, @mvuto137 uhhh khakis?,10 hours ago,@dascrazy3910,UCD6EatJrxj4RPIml8Oved9w,1,,https://yt3.ggpht.com/IYKzwSR-9wo_A4lMeny1QrddeNZUO8fqUbs8i1B6vEMNXWu5pyfTAnuVR0UooXYfKDZA8YqdjD4=s88-c-k-c0x00ffffff-no-rj,False,True,1741681165.537893
Ugxk-DsKDosOV7RILep4AaABAg.AEylSWcePuQAFWz20vcoDk,@dascrazy3910  u see you Jake,8 hours ago,@mvuto137,UCcBTMJS3I3wUyBsDcp5YFnQ,0,,https://yt3.ggpht.com/ytc/AIdro_l2LvYgYCBLMhVo6Tq9hkMXmIVp5trLic-o7iEMsOAux98=s88-c-k-c0x00ffffff-no-rj,False,True,1741688365.538486
UgwhEFu2rku7jvB4T7J4AaABAg.AEyfbW9b39VAEyhLFU-N_l,Do it Seth!,2 weeks ago,@MbahSmiles,UC6IQm_7R6CEPMhzjPV8VAog,2,,https://yt3.ggpht.com/ytc/AIdro_kexSU46w6cYLAw7n2skj-kjy6uv4tRLz7Q3K1rsh5kWb6z0DWyfRdUElppkPxsBgt36Q=s88-c-k-c0x00ffffff-no-rj,False,True,1740511165.729992
UgwhEFu2rku7jvB4T7J4AaABAg.AEyfbW9b39VAEyhhruqIbL,you're using too many big words,2 weeks ago,@matheuseli165,UChX3qTStfviurWTU2kaPJ3Q,1,,https://yt3.ggpht.com/ytc/AIdro_kzHIaH77zlXb3myXSMiJTAlbtc5ysHGUdv9Buek0ytYsA=s88-c-k-c0x00ffffff-no-rj,False,True,1740511165.730684
UgwhEFu2rku7jvB4T7J4AaABAg.AEyfbW9b39VAEyiwbYuh7N, @matheuseli165  ...No?,2 weeks ago,@SecretSurname,UCKc2V6SDXdjlJECnYHe6UWg,0,,https://yt3.ggpht.com/ytc/AIdro_mGCcO77qRAILeeq23h9y6AoVb-S6jhNjs55xh4H1JqzRtYoueMFrSC8S9Y7lZhzF6Tww=s88-c-k-c0x00ffffff-no-rj,False,True,1740511165.731293
UgwhEFu2rku7jvB4T7J4AaABAg.AEyfbW9b39VAEymoE4vNyC,@ got to watch the show to understand the referance haha,2 weeks ago,@MbahSmiles,UC6IQm_7R6CEPMhzjPV8VAog,1,,https://yt3.ggpht.com/ytc/AIdro_kexSU46w6cYLAw7n2skj-kjy6uv4tRLz7Q3K1rsh5kWb6z0DWyfRdUElppkPxsBgt36Q=s88-c-k-c0x00ffffff-no-rj,False,True,1740511165.731893
UgwhEFu2rku7jvB4T7J4AaABAg.AEyfbW9b39VAEyseT01-Vq, @MbahSmiles  Oh 😂,13 days ago,@SecretSurname,UCKc2V6SDXdjlJECnYHe6UWg,0,,https://yt3.ggpht.com/ytc/AIdro_mGCcO77qRAILeeq23h9y6AoVb-S6jhNjs55xh4H1JqzRtYoueMFrSC8S9Y7lZhzF6Tww=s88-c-k-c0x00ffffff-no-rj,False,True,1740597565.732473
UgwemxG5gCdfNfD1ht14AaABAg.AEyfbV03I1FAEyiRiDOoeb,You should get your outie a YouTube premium subscription then.,2 weeks ago,@alexyida,UCK5-W3Qqoku7O9C7YJIEkvw,7,,https://yt3.ggpht.com/MqYfh1O-A_ALIX2keF2Sr8-YKTDtIyjqeMEr8c8sCqXvqCP2e8Ov24mi06cRsHvKcsmikG8g_A=s88-c-k-c0x00ffffff-no-rj,False,True,1740511165.919603
UgxknlJBT4qLLh6fKD94AaABAg.AEyemKcN4e3AEyz6_yXITP,"Remember, marshmallows are for team players only.",13 days ago,@se0271,UCVtHhbCdjmaJf1sR7VSOhZg,0,,https://yt3.ggpht.com/ytc/AIdro_k1fVgB5zXBkB9ykCzHVDA7HmVi2QVTvSeHE_FndGoJOiU=s88-c-k-c0x00ffffff-no-rj,False,True,1740597566.09539
UgzDI5WGUtcj5RjMD9V4AaABAg.AEybuSlYZioAF-yv7FFAdN,music accompaniment for the staggered exits,13 days ago,@prinzpac,UC9feKxoM7Zg9cQm5wZmQXEQ,0,,https://yt3.ggpht.com/ytc/AIdro_krKxH-AkkrsJcGw4oofoCuMcj_3aU70AHjanV3JeM=s88-c-k-c0x00ffffff-no-rj,False,True,1740597566.266385
Ugz_lYq03UCkyroDI-t4AaABAg,Série chata,2 weeks ago,@foxcanaa,UC1l1j8fFyb2LZZKVxQLJtZA,0,,https://yt3.ggpht.com/ytc/AIdro_m8oWHKgFDzBbCcAyJKR3tq3E42z-ZAyNLrg2q2Z30=s88-c-k-c0x00ffffff-no-rj,False,False,1740511166.528313
UgxDmtpwkjURarIgIGN4AaABAg,Eu hein,2 weeks ago,@hugobellini,UCphl0uVF35op6b2V0EB1jAg,0,,https://yt3.ggpht.com/ytc/AIdro_lTFmrUmnKMEuk1qguU2cFBovlDy065RObCPXEYi3wW6tou=s88-c-k-c0x00ffffff-no-rj,False,False,1740511166.529068
UgwY9NUPzQphFcKEiql4AaABAg,AND EIGHT HOURS ON TOP OF THAT? GENIUS,2 weeks ago,@nn-fu6pv,UCy8tSuvgxqPqiVAbJhwr_yg,11,1,https://yt3.ggpht.com/a8F7UBQ8uAxWz7qkrM4r9CyHinVe0Hmw9W3TTxL6wVGy_AH_8wG9NM7zE4TsALFi5ew5OfjXDw=s88-c-k-c0x00ffffff-no-rj,False,False,1740511166.529556
UgweEntUZkWnt0MC7w94AaABAg,Contains mild spoilers for season 2 if you're saving them up to watch to avoid waiting week to week. New spoilery shots are added in each new hour of the cycle. The screen break at hour 4 seems like it might be particularly spoilery if you want to avoid looking at that. I've not seen the one at hour 7 yet so proceed with caution.,2 weeks ago,@leenoble9761,UCzQaxZrd-XIvqrCUHy4iYPw,1,1,https://yt3.ggpht.com/ytc/AIdro_kKgshmgkMkSpmQbtjzswLK1qIKOzVVswLbNHj6vZLuzY8=s88-c-k-c0x00ffffff-no-rj,False,False,1740511166.529998
UgySBys28Tfqo1gnTQp4AaABAg,"So good, Bonobo meets Pure Shores vibes",2 weeks ago,@SeanG86,UCGX7eEeV-oroFOpOC1VB3xg,2,,https://yt3.ggpht.com/ytc/AIdro_lMPqJDwWPWG8T3ceHrzDyV-tLoNioB_5fkeY4bxQWjWC0=s88-c-k-c0x00ffffff-no-rj,False,False,1740511166.530429
Ugy1q1XmCYaWEmo_q994AaABAg,"As a developer working with a 3 monitors setup it's cracy working with this as background...

perfect!",2 weeks ago,@XPol555,UCePxF6guPolIpVfC5ruEi-A,13,,https://yt3.ggpht.com/ytc/AIdro_kUNyumbEl0tia5TSSBD0SCegvZFFi5SsL38O8QgvwMGCc=s88-c-k-c0x00ffffff-no-rj,False,False,1740511166.530854
