cid,text,time,author,channel,votes,time_parsed
UgzGqoQjZ2NkE9vkE4V4AaABAg,Le duo est grave golri =,4 days ago,@what4401,UCLcwYFmXONa5SfTcIPsswxQ,0,1741453685.323818
Ugz9JGa609oPj_HLOFx4AaABAg,More content with Amine please,4 days ago,@mikarenminai,UCb4e58l-_fcjA-aMonG5gyw,22,1741453685.324735
UgxP_tDzseG0PmYJcdx4AaABAg,Et moi jsuis là avec mon 11m2,4 days ago,@kangarsta,UCtsVlVN_hk2ljDygTi-V_9w,0,1741453685.32553
Ugxmr8oenyjRs4xRgjx4AaABAg,amine il avait pas envie d'etre la mdrrrrr,4 days ago,@originals.3059,UCK75L-Q3_WQXEBYXQnBE5mg,0,1741453685.326242
Ugz7i38fmw7cfpachh14AaABAg,they're so siblings coded jdjsdj their back and forths are the same as my little brother and I's,4 days ago,@97hanabi,UC-k7RxPE_JIvb_BrnzkhYfw,0,1741453685.326835
UgwpyCRDdK4fapw-Es54AaABAg,Wsh amine sur la miniature on dirait pas lui😂,4 days ago,@mikarenminai,UCb4e58l-_fcjA-aMonG5gyw,2,1741453685.327388
UgyrRiOT42e8SC1Aj8J4AaABAg,L’appart il sent la naftaline mdr,4 days ago,@SatyreBBL,UCYbnmy1EGT87pkoiJgL3wXA,1,1741453685.328029
Ugw3y79WGdZGT6rTyHV4AaABAg,pitié mettez vous ensemble vous êtres trop chou💕,4 days ago,@mel34000,UCX1iRJ0ANw8xF9CDTZO7oYA,1,1741453685.328892
Ugzpo832cJoyrZLmw4F4AaABAg,Thanks Amine for saving me from the fire last month and giving me 100k €. You’re a hero ! 🙏🏽,4 days ago,@djibrilhamilton564,UCDjPv9xz7T6bmrBHEaB1oLQ,11,1741453685.329451
UgxIi5ityzmpU34cCjh4AaABAg,A great innovative simple and unique place to stay,4 days ago,@ranglerradar6535,UCr2onOjr-CcfBvgILhhQqwQ,0,1741453685.32999
UgwE2R-8aR5QSy7jDbB4AaABAg,And This IS how i met Your mother kids…,4 days ago,@kemi_story,UCHOe4VB9UlkMhfBWrZQ9lKw,3,1741453685.330524
UgwWEN1WF8mEYZnJoiR4AaABAg,15:21 amine c’est une galère 😂,4 days ago,@wtfyurpi,UCA7E_O3QwjnXjM9EomnaBeg,2,1741453685.331061
UgxOX8U0b7dvQUbXXzh4AaABAg,14:30 😂😂😂,4 days ago,@wtfyurpi,UCA7E_O3QwjnXjM9EomnaBeg,2,1741453685.331589
